day_of_year,day_of_week,is_holiday,avg_temp,precip,cloud,humidity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
344,2,0,0.6,0.4,0.36,0.73,0.331,0.381,0.35,0.338,0.368,0.353,0.518,0.523,0.532,0.545,0.45,0.443,0.45,0.426,0.469,0.437,0.396,0.582,0.608,0.596,0.537,0.374,0.389,0.406
345,3,0,4.2,1.5,0.67,0.65,0.368,0.375,0.375,0.372,0.393,0.349,0.581,0.599,0.566,0.594,0.461,0.456,0.467,0.478,0.501,0.453,0.474,0.606,0.632,0.598,0.64,0.418,0.437,0.389
346,4,0,1.3,2.1,0.72,0.58,0.282,0.336,0.301,0.307,0.305,0.298,0.417,0.44,0.456,0.443,0.342,0.377,0.366,0.388,0.346,0.383,0.364,0.446,0.434,0.469,0.499,0.364,0.339,0.351
347,5,0,1.9,0.3,0.52,0.69,0.368,0.4,0.4,0.35,0.39,0.371,0.565,0.59,0.565,0.557,0.506,0.444,0.466,0.452,0.416,0.47,0.502,0.611,0.602,0.581,0.606,0.419,0.429,0.39
348,6,1,-0.9,0.1,0.76,0.7,0.279,0.315,0.305,0.333,0.294,0.332,0.417,0.469,0.461,0.486,0.442,0.395,0.402,0.369,0.354,0.378,0.408,0.523,0.508,0.506,0.547,0.357,0.391,0.36
349,7,1,0.7,0.6,0.2,0.66,0.44,0.421,0.417,0.4,0.374,0.399,0.581,0.583,0.6,0.611,0.488,0.476,0.484,0.496,0.516,0.496,0.523,0.655,0.674,0.674,0.683,0.46,0.445,0.452
350,1,0,-1.1,0.7,0.17,0.73,0.371,0.345,0.371,0.362,0.347,0.356,0.502,0.489,0.524,0.539,0.419,0.443,0.416,0.422,0.421,0.429,0.471,0.561,0.566,0.558,0.588,0.356,0.394,0.383
351,2,0,-1.6,0.6,0.59,0.8,0.453,0.503,0.47,0.462,0.469,0.489,0.723,0.711,0.733,0.707,0.559,0.584,0.61,0.604,0.593,0.57,0.589,0.762,0.751,0.751,0.79,0.551,0.548,0.566
352,3,0,2.6,0.3,0.39,0.61,0.273,0.302,0.272,0.316,0.326,0.279,0.424,0.425,0.434,0.446,0.346,0.352,0.351,0.357,0.379,0.362,0.359,0.445,0.445,0.456,0.48,0.32,0.334,0.339
353,4,0,-0.7,1.0,0.46,0.68,0.373,0.362,0.361,0.358,0.374,0.38,0.588,0.568,0.577,0.561,0.493,0.408,0.479,0.459,0.498,0.441,0.457,0.596,0.609,0.601,0.585,0.423,0.46,0.425
354,5,0,0.4,0.2,0.25,0.77,0.46,0.434,0.428,0.452,0.457,0.444,0.688,0.658,0.65,0.632,0.545,0.554,0.523,0.574,0.571,0.574,0.578,0.721,0.701,0.708,0.701,0.491,0.484,0.524
355,6,1,0.2,0.8,0.17,0.67,0.259,0.239,0.237,0.246,0.234,0.252,0.4,0.368,0.364,0.342,0.291,0.284,0.322,0.318,0.32,0.349,0.301,0.41,0.407,0.411,0.43,0.249,0.264,0.302
356,7,1,2.2,0.8,0.89,0.81,0.371,0.377,0.39,0.415,0.377,0.433,0.628,0.584,0.598,0.597,0.496,0.506,0.493,0.517,0.523,0.481,0.464,0.669,0.669,0.632,0.623,0.454,0.438,0.454
357,1,0,3.2,2.0,0.22,0.69,0.383,0.426,0.438,0.422,0.401,0.418,0.589,0.591,0.609,0.606,0.481,0.508,0.485,0.503,0.548,0.516,0.475,0.648,0.669,0.68,0.672,0.43,0.454,0.48
358,2,0,0.7,0.1,0.46,0.65,0.383,0.375,0.363,0.387,0.414,0.378,0.561,0.569,0.571,0.585,0.495,0.469,0.508,0.482,0.475,0.528,0.496,0.625,0.606,0.631,0.651,0.466,0.448,0.457
359,3,0,-1.0,0.1,0.74,0.78,0.363,0.358,0.338,0.364,0.358,0.348,0.511,0.521,0.528,0.53,0.363,0.426,0.437,0.434,0.41,0.414,0.45,0.554,0.575,0.525,0.552,0.391,0.397,0.364
360,4,0,0.8,0.1,0.61,0.77,0.366,0.398,0.389,0.415,0.42,0.373,0.548,0.567,0.587,0.583,0.467,0.471,0.479,0.486,0.479,0.488,0.477,0.6,0.626,0.596,0.611,0.426,0.436,0.448
361,5,0,-0.6,1.6,0.57,0.61,0.386,0.387,0.375,0.363,0.373,0.431,0.619,0.62,0.629,0.589,0.477,0.484,0.479,0.542,0.496,0.47,0.505,0.646,0.67,0.651,0.653,0.466,0.461,0.455
362,6,1,0.5,0.1,0.94,0.69,0.282,0.328,0.326,0.321,0.307,0.304,0.485,0.523,0.457,0.478,0.405,0.405,0.375,0.384,0.393,0.408,0.437,0.514,0.522,0.519,0.511,0.413,0.36,0.363
363,7,1,-1.1,2.5,0.69,0.59,0.455,0.438,0.411,0.456,0.444,0.456,0.65,0.672,0.688,0.685,0.563,0.504,0.574,0.542,0.553,0.574,0.579,0.726,0.699,0.724,0.734,0.5,0.519,0.49
364,1,0,1.0,3.0,0.47,0.74,0.472,0.467,0.471,0.446,0.473,0.483,0.702,0.687,0.697,0.713,0.568,0.581,0.58,0.563,0.615,0.572,0.579,0.749,0.758,0.801,0.774,0.532,0.532,0.511
365,2,0,1.0,0.1,0.18,0.73,0.436,0.436,0.45,0.442,0.467,0.439,0.669,0.691,0.655,0.687,0.568,0.524,0.532,0.538,0.535,0.57,0.543,0.739,0.726,0.724,0.707,0.505,0.492,0.507
1,3,0,0.7,0.2,0.77,0.57,0.317,0.311,0.316,0.301,0.314,0.273,0.432,0.471,0.437,0.465,0.375,0.342,0.385,0.383,0.395,0.363,0.383,0.516,0.495,0.484,0.517,0.361,0.359,0.353
2,4,0,1.9,0.2,0.82,0.79,0.258,0.29,0.313,0.289,0.284,0.297,0.449,0.43,0.482,0.453,0.389,0.362,0.355,0.35,0.364,0.371,0.35,0.482,0.463,0.47,0.458,0.323,0.32,0.338
3,5,0,0.9,0.9,0.49,0.79,0.475,0.449,0.458,0.502,0.446,0.512,0.728,0.702,0.708,0.691,0.555,0.559,0.589,0.568,0.592,0.582,0.583,0.794,0.775,0.775,0.783,0.537,0.489,0.537
4,6,1,-1.0,1.2,0.82,0.7,0.336,0.373,0.342,0.309,0.347,0.316,0.489,0.464,0.503,0.511,0.422,0.438,0.413,0.439,0.428,0.416,0.413,0.559,0.536,0.527,0.524,0.365,0.399,0.357
5,7,1,1.2,0.2,0.69,0.64,0.311,0.29,0.3,0.332,0.294,0.271,0.468,0.464,0.502,0.47,0.387,0.377,0.39,0.365,0.408,0.381,0.38,0.506,0.523,0.486,0.477,0.36,0.344,0.324
6,1,0,-2.7,0.1,0.71,0.62,0.285,0.342,0.337,0.348,0.336,0.309,0.463,0.503,0.516,0.517,0.388,0.405,0.414,0.425,0.397,0.413,0.405,0.542,0.523,0.505,0.538,0.37,0.393,0.37
7,2,0,0.1,3.0,0.35,0.74,0.362,0.424,0.379,0.355,0.384,0.361,0.561,0.538,0.6,0.551,0.496,0.444,0.494,0.463,0.468,0.465,0.463,0.594,0.625,0.583,0.633,0.385,0.427,0.406
8,3,0,-0.1,1.4,0.45,0.64,0.354,0.361,0.332,0.383,0.356,0.337,0.538,0.562,0.535,0.526,0.463,0.473,0.46,0.483,0.428,0.46,0.465,0.567,0.547,0.591,0.594,0.406,0.425,0.416
9,4,0,-2.2,0.7,0.3,0.68,0.326,0.332,0.34,0.306,0.346,0.278,0.489,0.467,0.483,0.495,0.381,0.375,0.417,0.387,0.399,0.416,0.432,0.559,0.517,0.521,0.519,0.317,0.362,0.39
10,5,0,-2.1,0.1,0.1,0.65,0.32,0.389,0.335,0.37,0.333,0.362,0.495,0.507,0.523,0.486,0.421,0.406,0.419,0.396,0.453,0.394,0.438,0.543,0.561,0.57,0.548,0.383,0.36,0.368
11,6,1,4.6,1.9,0.17,0.67,0.373,0.399,0.407,0.362,0.421,0.418,0.603,0.579,0.567,0.586,0.526,0.506,0.506,0.483,0.509,0.508,0.473,0.631,0.646,0.663,0.591,0.452,0.41,0.457
12,7,1,3.7,0.9,0.83,0.69,0.3,0.315,0.302,0.288,0.276,0.277,0.435,0.477,0.452,0.449,0.368,0.399,0.367,0.379,0.386,0.402,0.381,0.488,0.512,0.526,0.528,0.346,0.393,0.366
13,1,0,-1.8,1.1,0.8,0.62,0.299,0.29,0.269,0.246,0.278,0.249,0.41,0.396,0.404,0.4,0.371,0.351,0.335,0.351,0.342,0.348,0.333,0.415,0.457,0.475,0.45,0.268,0.33,0.316
14,2,0,-3.0,1.3,0.65,0.61,0.295,0.27,0.29,0.305,0.319,0.285,0.453,0.444,0.43,0.434,0.362,0.382,0.36,0.399,0.377,0.328,0.385,0.485,0.479,0.47,0.466,0.377,0.306,0.345
15,3,0,-3.6,0.3,0.4,0.62,0.222,0.225,0.249,0.219,0.236,0.25,0.352,0.382,0.372,0.379,0.302,0.275,0.325,0.293,0.282,0.314,0.33,0.395,0.392,0.404,0.397,0.304,0.233,0.3
16,4,0,1.6,0.5,0.63,0.56,0.288,0.243,0.225,0.209,0.249,0.219,0.374,0.389,0.362,0.375,0.338,0.344,0.314,0.288,0.351,0.338,0.32,0.447,0.407,0.435,0.392,0.281,0.279,0.299
17,5,0,-0.4,1.7,0.24,0.84,0.28,0.29,0.267,0.279,0.264,0.275,0.441,0.409,0.453,0.398,0.342,0.351,0.382,0.391,0.385,0.34,0.338,0.463,0.462,0.439,0.515,0.351,0.323,0.324
18,6,1,-0.3,1.2,0.71,0.72,0.429,0.396,0.371,0.412,0.386,0.402,0.614,0.593,0.579,0.585,0.493,0.491,0.49,0.521,0.493,0.494,0.483,0.602,0.665,0.646,0.623,0.452,0.412,0.428
19,7,1,-1.4,0.4,0.52,0.74,0.368,0.345,0.401,0.368,0.356,0.367,0.556,0.559,0.539,0.575,0.471,0.479,0.471,0.52,0.46,0.468,0.526,0.598,0.612,0.629,0.611,0.406,0.449,0.4
20,1,0,3.7,0.8,0.19,0.8,0.429,0.377,0.396,0.386,0.398,0.378,0.631,0.632,0.595,0.644,0.528,0.469,0.486,0.522,0.515,0.483,0.52,0.676,0.667,0.675,0.62,0.466,0.428,0.468
21,2,0,3.2,1.9,0.77,0.82,0.465,0.486,0.475,0.47,0.473,0.489,0.695,0.719,0.711,0.699,0.586,0.611,0.58,0.582,0.544,0.54,0.581,0.747,0.758,0.779,0.761,0.505,0.482,0.542
22,3,0,2.1,1.7,0.21,0.73,0.444,0.464,0.443,0.464,0.451,0.425,0.674,0.682,0.626,0.639,0.572,0.533,0.529,0.572,0.574,0.529,0.554,0.729,0.722,0.727,0.748,0.513,0.49,0.511
23,4,0,-1.5,1.1,0.12,0.7,0.387,0.373,0.399,0.408,0.367,0.365,0.57,0.588,0.607,0.601,0.527,0.5,0.454,0.47,0.483,0.504,0.46,0.666,0.625,0.647,0.616,0.439,0.464,0.44
24,5,0,-1.2,0.5,0.61,0.64,0.248,0.234,0.269,0.252,0.254,0.25,0.368,0.364,0.402,0.416,0.283,0.3,0.333,0.321,0.293,0.305,0.308,0.44,0.394,0.427,0.41,0.266,0.288,0.285
25,6,1,-1.5,0.1,0.78,0.87,0.438,0.45,0.448,0.464,0.462,0.503,0.689,0.677,0.712,0.724,0.579,0.56,0.608,0.553,0.574,0.583,0.56,0.745,0.749,0.752,0.743,0.513,0.528,0.554
26,7,1,2.0,1.3,0.65,0.55,0.271,0.277,0.263,0.278,0.289,0.304,0.422,0.385,0.444,0.422,0.359,0.343,0.3,0.359,0.335,0.321,0.344,0.465,0.47,0.449,0.469,0.343,0.322,0.277
27,1,0,0.7,0.2,0.64,0.72,0.22,0.247,0.234,0.266,0.236,0.196,0.386,0.395,0.346,0.341,0.29,0.302,0.285,0.325,0.315,0.305,0.32,0.359,0.366,0.395,0.393,0.285,0.277,0.251
28,2,0,-3.2,1.8,0.47,0.79,0.242,0.24,0.255,0.245,0.239,0.24,0.367,0.363,0.373,0.347,0.316,0.302,0.328,0.32,0.311,0.315,0.351,0.393,0.414,0.414,0.433,0.289,0.283,0.28
29,3,0,1.5,0.1,0.57,0.66,0.449,0.48,0.46,0.472,0.459,0.457,0.646,0.639,0.685,0.646,0.551,0.531,0.524,0.533,0.541,0.525,0.561,0.745,0.7,0.712,0.721,0.454,0.51,0.504
30,4,0,0.7,1.1,0.32,0.76,0.272,0.231,0.267,0.247,0.296,0.315,0.412,0.372,0.382,0.397,0.322,0.335,0.331,0.302,0.372,0.342,0.305,0.389,0.359,0.419,0.451,0.339,0.272,0.3
31,5,0,0.3,1.0,0.74,0.77,0.445,0.496,0.485,0.436,0.457,0.477,0.707,0.703,0.679,0.69,0.592,0.578,0.599,0.597,0.562,0.603,0.599,0.743,0.799,0.765,0.721,0.542,0.522,0.531
32,6,1,0.7,0.4,0.45,0.72,0.456,0.48,0.455,0.484,0.452,0.45,0.724,0.695,0.663,0.686,0.534,0.578,0.582,0.566,0.567,0.542,0.593,0.711,0.766,0.735,0.766,0.491,0.504,0.507
33,7,1,0.3,0.5,0.3,0.58,0.44,0.455,0.457,0.468,0.458,0.454,0.656,0.673,0.694,0.652,0.563,0.563,0.539,0.56,0.537,0.573,0.572,0.754,0.718,0.711,0.755,0.529,0.508,0.502
34,1,0,2.1,1.9,0.4,0.63,0.29,0.265,0.22,0.302,0.206,0.265,0.376,0.373,0.383,0.417,0.303,0.325,0.304,0.299,0.343,0.343,0.298,0.375,0.392,0.418,0.421,0.265,0.294,0.268
35,2,0,-0.4,0.8,0.48,0.62,0.286,0.291,0.29,0.299,0.274,0.292,0.436,0.449,0.425,0.427,0.351,0.343,0.337,0.311,0.368,0.315,0.366,0.461,0.431,0.428,0.442,0.288,0.313,0.301
36,3,0,-0.1,1.2,0.18,0.62,0.478,0.454,0.429,0.461,0.416,0.458,0.662,0.695,0.671,0.667,0.546,0.55,0.516,0.554,0.571,0.564,0.525,0.727,0.752,0.709,0.748,0.524,0.498,0.486
37,4,0,2.1,1.2,0.32,0.7,0.416,0.447,0.446,0.409,0.417,0.411,0.625,0.595,0.617,0.648,0.521,0.531,0.528,0.524,0.552,0.527,0.549,0.69,0.706,0.712,0.655,0.495,0.474,0.473
38,5,0,4.4,0.1,0.49,0.58,0.277,0.269,0.259,0.221,0.267,0.26,0.387,0.382,0.418,0.409,0.342,0.329,0.321,0.353,0.395,0.331,0.302,0.447,0.446,0.446,0.42,0.289,0.316,0.342
39,6,1,0.6,0.1,0.6,0.75,0.438,0.47,0.47,0.434,0.464,0.505,0.74,0.708,0.703,0.676,0.621,0.595,0.588,0.575,0.573,0.567,0.607,0.737,0.74,0.754,0.764,0.528,0.519,0.529
40,7,1,2.9,0.4,0.31,0.56,0.279,0.339,0.318,0.289,0.308,0.292,0.471,0.457,0.419,0.446,0.34,0.377,0.369,0.375,0.35,0.364,0.403,0.483,0.507,0.487,0.487,0.319,0.364,0.359
41,1,0,2.0,0.7,0.15,0.59,0.465,0.471,0.496,0.505,0.486,0.468,0.733,0.732,0.696,0.654,0.561,0.566,0.581,0.611,0.608,0.582,0.56,0.762,0.772,0.787,0.764,0.524,0.545,0.518
42,2,0,-0.5,1.1,0.37,0.78,0.342,0.312,0.324,0.353,0.315,0.317,0.515,0.489,0.481,0.502,0.402,0.435,0.43,0.458,0.377,0.417,0.375,0.507,0.522,0.523,0.513,0.371,0.394,0.365
43,3,0,2.7,0.6,0.54,0.68,0.36,0.359,0.32,0.299,0.361,0.331,0.501,0.501,0.477,0.495,0.469,0.409,0.402,0.47,0.423,0.402,0.398,0.535,0.57,0.519,0.53,0.379,0.365,0.373
44,4,0,-1.3,1.2,0.97,0.65,0.256,0.238,0.226,0.32,0.253,0.266,0.428,0.394,0.412,0.386,0.33,0.363,0.37,0.356,0.336,0.338,0.337,0.454,0.439,0.429,0.442,0.309,0.292,0.3
45,5,0,3.2,0.2,0.38,0.72,0.425,0.441,0.394,0.451,0.457,0.429,0.64,0.653,0.648,0.625,0.517,0.59,0.526,0.524,0.556,0.543,0.551,0.688,0.68,0.695,0.714,0.43,0.482,0.469
46,6,1,4.4,2.7,0.33,0.62,0.43,0.443,0.432,0.444,0.421,0.426,0.648,0.653,0.639,0.611,0.529,0.58,0.561,0.554,0.537,0.569,0.543,0.707,0.711,0.726,0.704,0.445,0.486,0.5
47,7,1,5.0,0.4,0.63,0.56,0.236,0.271,0.287,0.286,0.268,0.26,0.389,0.385,0.416,0.444,0.347,0.333,0.353,0.364,0.353,0.341,0.302,0.441,0.445,0.426,0.453,0.305,0.304,0.261
48,1,0,3.2,0.8,0.36,0.68,0.415,0.442,0.405,0.367,0.386,0.403,0.581,0.565,0.554,0.606,0.471,0.487,0.483,0.485,0.489,0.527,0.516,0.619,0.666,0.636,0.638,0.427,0.462,0.467
49,2,0,5.6,1.5,0.43,0.7,0.291,0.306,0.299,0.3,0.255,0.301,0.454,0.399,0.445,0.433,0.363,0.385,0.411,0.387,0.374,0.38,0.381,0.486,0.487,0.478,0.497,0.337,0.307,0.323
50,3,0,2.5,0.0,0.27,0.75,0.434,0.457,0.454,0.449,0.442,0.476,0.658,0.649,0.643,0.675,0.54,0.567,0.587,0.566,0.542,0.539,0.565,0.682,0.741,0.742,0.701,0.51,0.488,0.483
51,4,0,2.6,0.0,0.19,0.73,0.341,0.273,0.309,0.319,0.332,0.351,0.46,0.505,0.486,0.485,0.413,0.411,0.427,0.417,0.411,0.405,0.394,0.587,0.551,0.544,0.52,0.35,0.361,0.348
52,5,0,0.1,0.1,0.13,0.8,0.36,0.327,0.335,0.381,0.363,0.347,0.493,0.502,0.552,0.51,0.452,0.405,0.426,0.448,0.458,0.438,0.443,0.581,0.578,0.554,0.574,0.439,0.431,0.368
53,6,1,2.8,0.1,0.23,0.83,0.327,0.333,0.311,0.319,0.303,0.34,0.477,0.49,0.492,0.491,0.376,0.395,0.396,0.385,0.393,0.407,0.373,0.513,0.559,0.522,0.541,0.355,0.344,0.382
54,7,1,6.4,0.7,0.76,0.6,0.276,0.25,0.269,0.309,0.279,0.24,0.392,0.398,0.389,0.391,0.31,0.287,0.299,0.353,0.321,0.29,0.323,0.401,0.419,0.411,0.402,0.265,0.264,0.31
55,1,0,3.6,0.1,0.62,0.68,0.471,0.471,0.492,0.456,0.435,0.42,0.705,0.677,0.691,0.642,0.56,0.58,0.584,0.559,0.593,0.582,0.594,0.77,0.74,0.748,0.736,0.474,0.487,0.533
56,2,0,6.5,0.5,0.52,0.48,0.356,0.347,0.309,0.365,0.321,0.35,0.467,0.508,0.526,0.503,0.401,0.426,0.4,0.425,0.41,0.405,0.42,0.542,0.508,0.575,0.519,0.38,0.377,0.36
57,3,0,3.9,0.1,0.75,0.79,0.402,0.364,0.398,0.374,0.37,0.411,0.576,0.551,0.574,0.572,0.475,0.453,0.529,0.47,0.512,0.457,0.459,0.615,0.609,0.646,0.615,0.428,0.435,0.439
58,4,0,5.5,2.8,0.33,0.46,0.366,0.409,0.385,0.387,0.328,0.359,0.597,0.565,0.536,0.582,0.497,0.481,0.484,0.491,0.5,0.523,0.483,0.632,0.658,0.603,0.603,0.427,0.45,0.438
59,5,0,7.3,0.6,0.45,0.73,0.413,0.448,0.422,0.459,0.444,0.439,0.668,0.648,0.693,0.657,0.576,0.549,0.556,0.552,0.595,0.544,0.564,0.694,0.71,0.728,0.723,0.513,0.518,0.521
60,6,1,1.4,2.9,0.48,0.73,0.3,0.293,0.298,0.297,0.312,0.266,0.436,0.457,0.433,0.409,0.389,0.364,0.338,0.388,0.38,0.376,0.409,0.469,0.466,0.468,0.477,0.362,0.345,0.349
61,7,1,4.1,0.1,0.25,0.59,0.378,0.332,0.33,0.335,0.376,0.396,0.568,0.604,0.537,0.578,0.461,0.467,0.486,0.483,0.466,0.51,0.478,0.611,0.599,0.613,0.607,0.406,0.389,0.394
62,1,0,5.3,0.5,0.34,0.72,0.288,0.261,0.237,0.247,0.281,0.241,0.377,0.378,0.369,0.392,0.327,0.316,0.333,0.335,0.312,0.375,0.331,0.428,0.388,0.421,0.413,0.295,0.296,0.34
63,2,0,7.0,0.7,0.45,0.64,0.371,0.387,0.373,0.33,0.346,0.33,0.531,0.541,0.533,0.541,0.414,0.429,0.412,0.448,0.467,0.448,0.496,0.564,0.548,0.577,0.604,0.435,0.409,0.407
64,3,0,8.0,0.9,0.85,0.66,0.334,0.323,0.324,0.353,0.317,0.341,0.521,0.504,0.523,0.497,0.411,0.405,0.431,0.472,0.453,0.456,0.398,0.548,0.57,0.583,0.54,0.364,0.369,0.385
65,4,0,8.0,0.2,0.26,0.69,0.436,0.39,0.425,0.387,0.398,0.396,0.57,0.622,0.609,0.594,0.525,0.521,0.558,0.496,0.54,0.53,0.489,0.669,0.673,0.7,0.688,0.475,0.457,0.483
66,5,0,3.6,0.0,0.7,0.67,0.373,0.374,0.38,0.411,0.398,0.396,0.58,0.576,0.604,0.612,0.498,0.479,0.472,0.47,0.484,0.487,0.501,0.621,0.646,0.615,0.645,0.418,0.449,0.447
67,6,1,5.6,0.7,0.37,0.51,0.254,0.278,0.287,0.285,0.278,0.255,0.434,0.406,0.407,0.398,0.347,0.316,0.359,0.381,0.355,0.328,0.347,0.448,0.432,0.458,0.451,0.282,0.304,0.325
68,7,1,9.7,0.4,0.4,0.6,0.394,0.372,0.36,0.342,0.349,0.358,0.556,0.543,0.554,0.516,0.482,0.449,0.476,0.464,0.417,0.441,0.456,0.585,0.574,0.584,0.612,0.415,0.419,0.416
69,1,0,7.7,1.5,0.18,0.7,0.427,0.414,0.408,0.437,0.416,0.435,0.681,0.609,0.632,0.676,0.522,0.545,0.518,0.539,0.561,0.491,0.53,0.71,0.702,0.718,0.686,0.485,0.48,0.491
70,2,0,5.5,0.1,0.29,0.66,0.383,0.373,0.37,0.373,0.37,0.351,0.522,0.524,0.506,0.514,0.448,0.448,0.414,0.448,0.48,0.464,0.443,0.586,0.556,0.559,0.544,0.401,0.404,0.385
71,3,0,8.3,1.0,0.64,0.56,0.405,0.378,0.381,0.401,0.421,0.423,0.575,0.61,0.581,0.587,0.524,0.517,0.47,0.507,0.48,0.476,0.535,0.662,0.63,0.691,0.69,0.474,0.471,0.442
72,4,0,6.1,0.9,0.68,0.54,0.425,0.388,0.417,0.406,0.363,0.364,0.593,0.564,0.564,0.615,0.526,0.48,0.499,0.443,0.509,0.475,0.456,0.606,0.61,0.619,0.625,0.46,0.419,0.43
73,5,0,6.3,0.2,0.66,0.73,0.337,0.355,0.337,0.356,0.359,0.367,0.514,0.504,0.534,0.516,0.427,0.39,0.416,0.441,0.394,0.414,0.458,0.561,0.576,0.583,0.547,0.376,0.398,0.377
74,6,1,6.0,0.2,0.72,0.83,0.454,0.494,0.475,0.46,0.497,0.485,0.7,0.723,0.692,0.727,0.548,0.593,0.607,0.566,0.588,0.574,0.597,0.741,0.764,0.775,0.753,0.546,0.537,0.529
75,7,1,7.1,1.8,0.51,0.68,0.46,0.448,0.434,0.455,0.442,0.459,0.674,0.685,0.669,0.661,0.57,0.575,0.582,0.587,0.574,0.567,0.549,0.758,0.722,0.758,0.725,0.519,0.552,0.497
76,1,0,10.9,0.1,0.51,0.58,0.286,0.265,0.27,0.272,0.268,0.281,0.425,0.431,0.402,0.41,0.338,0.342,0.352,0.361,0.351,0.333,0.348,0.48,0.46,0.473,0.415,0.32,0.31,0.319
77,2,0,7.2,0.1,0.08,0.75,0.493,0.479,0.464,0.497,0.464,0.455,0.71,0.627,0.735,0.728,0.594,0.559,0.563,0.582,0.609,0.564,0.535,0.765,0.759,0.723,0.737,0.53,0.512,0.533
78,3,0,6.8,0.9,0.3,0.74,0.234,0.285,0.293,0.27,0.24,0.306,0.424,0.428,0.416,0.448,0.325,0.323,0.339,0.369,0.35,0.348,0.357,0.411,0.451,0.409,0.49,0.271,0.343,0.345
79,4,0,2.5,1.7,0.68,0.68,0.333,0.346,0.287,0.316,0.348,0.32,0.497,0.541,0.505,0.492,0.41,0.399,0.404,0.392,0.43,0.368,0.387,0.569,0.549,0.542,0.495,0.413,0.364,0.348
80,5,0,4.9,0.1,0.67,0.9,0.297,0.323,0.311,0.294,0.275,0.343,0.437,0.47,0.451,0.467,0.393,0.407,0.384,0.389,0.406,0.418,0.341,0.501,0.489,0.501,0.468,0.364,0.357,0.373
81,6,1,6.5,1.0,0.57,0.78,0.391,0.404,0.443,0.384,0.43,0.393,0.57,0.594,0.576,0.551,0.502,0.533,0.462,0.506,0.492,0.524,0.512,0.656,0.644,0.667,0.602,0.442,0.435,0.441
82,7,1,10.4,0.6,0.5,0.7,0.405,0.414,0.394,0.355,0.37,0.404,0.523,0.568,0.572,0.575,0.472,0.475,0.472,0.422,0.457,0.475,0.479,0.607,0.639,0.633,0.624,0.413,0.424,0.431
83,1,0,9.9,2.4,0.39,0.47,0.278,0.272,0.23,0.264,0.249,0.235,0.4,0.345,0.387,0.375,0.342,0.323,0.336,0.312,0.318,0.308,0.337,0.44,0.438,0.448,0.439,0.294,0.293,0.272
84,2,0,5.7,0.5,0.48,0.55,0.362,0.377,0.385,0.392,0.316,0.369,0.55,0.573,0.55,0.539,0.489,0.451,0.506,0.467,0.481,0.451,0.461,0.594,0.568,0.593,0.602,0.418,0.407,0.403
85,3,0,13.2,0.4,0.51,0.58,0.371,0.377,0.34,0.339,0.326,0.359,0.549,0.506,0.538,0.542,0.44,0.432,0.426,0.455,0.434,0.449,0.448,0.608,0.56,0.511,0.56,0.365,0.388,0.403
86,4,0,9.5,1.9,0.26,0.68,0.475,0.512,0.45,0.482,0.51,0.471,0.699,0.729,0.715,0.719,0.587,0.599,0.562,0.585,0.585,0.637,0.595,0.798,0.779,0.757,0.787,0.503,0.556,0.559
87,5,0,7.2,0.4,0.56,0.8,0.363,0.383,0.398,0.407,0.411,0.41,0.589,0.55,0.592,0.532,0.445,0.502,0.523,0.509,0.536,0.49,0.493,0.657,0.666,0.646,0.654,0.439,0.419,0.423
88,6,1,8.2,1.7,0.34,0.79,0.374,0.358,0.378,0.352,0.381,0.349,0.556,0.536,0.526,0.543,0.427,0.424,0.421,0.46,0.437,0.457,0.45,0.591,0.635,0.6,0.59,0.411,0.401,0.397
89,7,1,13.9,0.5,0.85,0.73,0.265,0.306,0.281,0.331,0.267,0.278,0.418,0.413,0.412,0.458,0.333,0.365,0.425,0.353,0.331,0.387,0.362,0.471,0.504,0.485,0.477,0.321,0.345,0.342
90,1,0,7.3,0.1,0.19,0.66,0.286,0.269,0.27,0.272,0.252,0.256,0.383,0.408,0.364,0.371,0.286,0.302,0.296,0.334,0.281,0.312,0.286,0.366,0.407,0.355,0.436,0.28,0.22,0.276
91,2,0,9.6,0.7,0.54,0.71,0.346,0.343,0.362,0.352,0.382,0.345,0.555,0.513,0.552,0.544,0.472,0.458,0.432,0.425,0.447,0.437,0.456,0.592,0.56,0.562,0.64,0.38,0.438,0.397
92,3,0,8.5,4.4,0.84,0.81,0.279,0.274,0.286,0.258,0.299,0.24,0.374,0.36,0.372,0.399,0.348,0.303,0.327,0.317,0.301,0.293,0.31,0.392,0.425,0.442,0.421,0.335,0.303,0.274
93,4,0,9.3,0.0,0.41,0.6,0.27,0.281,0.3,0.284,0.297,0.283,0.447,0.427,0.43,0.406,0.341,0.335,0.344,0.341,0.363,0.332,0.348,0.449,0.513,0.448,0.455,0.299,0.315,0.327
94,5,0,8.5,0.9,0.55,0.68,0.45,0.455,0.4,0.447,0.463,0.451,0.664,0.687,0.677,0.661,0.566,0.602,0.567,0.567,0.563,0.572,0.587,0.74,0.758,0.729,0.717,0.533,0.46,0.499
95,6,1,12.3,2.1,0.67,0.62,0.394,0.448,0.454,0.43,0.391,0.448,0.616,0.617,0.647,0.64,0.499,0.529,0.549,0.511,0.536,0.528,0.526,0.675,0.713,0.697,0.706,0.5,0.473,0.488
